Harmonic Order h,132kV,66kV,33kV,22kV,11kV,400V
2,1.14,1.34,1.4,1.84,1.84,1.9
3,2,2.65,2.83,4.27,4.27,4.5
4,0.6,0.7,0.73,0.96,0.96,1
5,2,2.87,3.11,5.12,5.12,5.5
6,0.3,0.35,0.36,0.48,0.48,0.5
7,2,2.59,2.76,4.19,4.19,4.5
8,0.3,0.35,0.36,0.47,0.47,0.5
9,0.81,0.93,0.97,1.27,1.27,1.35
10,0.29,0.33,0.35,0.46,0.46,0.49
11,1.5,1.88,1.98,2.97,2.97,3.25
12,0.27,0.3,0.31,0.41,0.41,0.44
13,1.5,1.75,1.83,2.53,2.53,2.75
14,0.25,0.28,0.29,0.38,0.38,0.41
15,0.21,0.24,0.24,0.32,0.32,0.35
16,0.23,0.26,0.27,0.36,0.36,0.39
17,1.11,1.24,1.28,1.69,1.69,1.85
18,0.22,0.25,0.26,0.34,0.34,0.37
19,0.98,1.09,1.12,1.48,1.48,1.63
20,0.22,0.24,0.25,0.33,0.33,0.36
21,0.15,0.17,0.17,0.23,0.23,0.25
22,0.21,0.23,0.24,0.31,0.31,0.35
23,0.78,0.86,0.88,1.17,1.17,1.31
24,0.2,0.22,0.23,0.3,0.3,0.34
25,0.71,0.77,0.79,1.05,1.05,1.18
26,0.2,0.22,0.22,0.29,0.29,0.33
27,0.12,0.13,0.13,0.18,0.18,0.2
28,0.19,0.21,0.21,0.28,0.28,0.32
29,0.59,0.64,0.65,0.86,0.86,0.99
30,0.19,0.21,0.21,0.28,0.28,0.32
31,0.55,0.58,0.59,0.79,0.79,0.91
32,0.19,0.2,0.2,0.27,0.27,0.31
33,0.12,0.13,0.13,0.17,0.17,0.2
34,0.19,0.2,0.2,0.26,0.26,0.31
35,0.47,0.49,0.5,0.66,0.66,0.78
36,0.18,0.19,0.19,0.26,0.26,0.3
37,0.43,0.45,0.46,0.61,0.61,0.72
38,0.18,0.19,0.19,0.25,0.25,0.3
39,0.12,0.12,0.13,0.17,0.17,0.2
40,0.18,0.19,0.19,0.25,0.25,0.3
THD %,3,4.1,4.4,6.6,6.6,7.3
