Harmonic Order h,<20,20 < 50,50 < 100,100 < 1000,>1000
2,1,1.75,2.5,3,3.75
3,4,7,10,12,15
4,1,1.75,2.5,3,3.75
5,4,7,10,12,15
6,1,1.75,2.5,3,3.75
7,4,7,10,12,15
8,1,1.75,2.5,3,3.75
9,4,7,10,12,15
10,1,1.75,2.5,3,3.75
11,2,3.5,4.5,5.5,7
12,0.5,0.88,1.13,1.38,1.75
13,2,3.5,4.5,5.5,7
14,0.5,0.88,1.13,1.38,1.75
15,2,2.5,4.5,5.5,7
16,0.5,0.88,1.13,1.38,1.75
17,1.5,2.5,4,5,6
18,0.38,0.63,1,1.25,1.5
19,1.5,2.5,4,5,6
20,0.38,0.63,1,1.25,1.5
21,1.5,2.5,4,5,6
22,0.38,0.63,1,1.25,1.5
23,0.6,1,1.5,2,2.5
24,0.15,0.25,0.38,0.5,0.63
25,0.6,1,1.5,2,2.5
26,0.15,0.25,0.38,0.5,0.63
27,0.6,1,1.5,2,2.5
28,0.15,0.25,0.38,0.5,0.63
29,0.6,1,1.5,2,2.5
30,0.15,0.25,0.38,0.5,0.63
31,0.6,1,1.5,2,2.5
32,0.15,0.25,0.38,0.5,0.63
33,0.3,1,1.5,2,2.5
34,0.08,0.25,0.38,0.5,0.63
35,0.3,0.5,0.7,1,1.4
36,0.08,0.13,0.18,0.25,0.35
37,0.3,0.5,0.7,1,1.4
38,0.08,0.13,0.18,0.25,0.35
39,0.3,0.5,0.7,1,1.4
40,0.08,0.13,0.18,0.25,0.35
TDD (Total Demand Distortion),5,8,12,15,20
